Name,Size,Type,Alignment,AC,AC info,Mean HP,HP Dice,Speed,Prof. bonus,STR,DEX,CON,INT,WIS,CHA,Skill Proficiencies,Resistances,Vulnerabilities,Immunities,Conditions Immunity,Senses,Passive Perception,Languages,Trait Name,Trait Description,Action Name,Action Description,Legendary Action Name,Legendary Action Description,CR,Source
Korred,S,fey,chaotic neutral,17,natural armor,102,12d6+60,"30 ft., burrow 30 ft.",3,23,14,20,10,15,9,"Athletics +9, Perception +5, Stealth +5","bludgeoning, piercing, and slashing from nonmagical attacks",,,,"darkvision 120 ft., tremorsense 120 ft.",15,"Dwarvish, Gnomish, Sylvan, Terran, Undercommon","['Command Hair', 'Innate Spellcasting', 'Stone Camouflage', ""Stone's Strength""]","['The korred has at least one 50-foot-long rope woven out of its hair. As a bonus action, the korred commands one such rope within 30 feet of it to move up to 20 feet and entangle a Large or smaller creature that the korred can see. The target must succeed on a DC 13 Dexterity saving throw or become grappled by the rope (escape DC 13). Until this grapple ends. the target is restrained. The korred can use a bonus action to release the target, which is also freed if the korred dies or becomes incapacitated.', '\tA rope of korred hair has AC 20 and 20 hit points. It regains 1 hit point at the start of each of the korred’s turns while it has at least 1 hit point and the korred is alive. If the rope drops to 0 hit points, it is destroyed.', ""The korred's innate spellcasting ability is Wisdom (save DC 13). It can innately cast the following spells, requiring no components:"", '\t ', 'At will: commune with nature, meld into stone, stone shape', '\t ', '1/day each: conjure elemental (as 6th-level spell; galeb duhr, gargoyle, earth elemental, or xorn only), Otto’s irresistible dance', 'The korred has advantage on Dexterity (Stealth) checks made to hide in rocky terrain.', 'While on the ground, the korred deals 2 extra dice of damage with any weapon attack (included in its attacks).']","['Multiattack', 'Greatclub', 'Rock']","['The korred makes two attacks with its greatclub or hurls two rocks.', 'Melee Weapon Attack: +9 to hit, reach 5 ft., one target. Hit: 10 (1d8+6) bludgeoning damage, or 19 (3d8+6) bludgeoning damage if the korred is on the ground.', 'Ranged Weapon Attack: +9 to hit, range 60/120 ft., one target. Hit: 15 (2d8+6) bludgeoning damage, or 24 (4d8+6) bludgeoning damage if the korred is on the ground.']",[],[],7.0, Volo's Guide
Kraken,G,monstrosity (titan),chaotic evil,18,natural armor,472,27d20+189,"20 ft., swim 60 ft.",7,30,11,25,22,18,20,,,,"lightning, bludgeoning, piercing, and slashing from nonmagical weapons","frightened, paralyzed",truesight 120 ft.,14,"understands Abyssal, Celestial, Infernal, and Primordial but can't speak, telepathy 120 ft.","['Amphibious', 'Freedom of Movement', 'Siege Monster']","['The kraken can breathe air and water.', ""The kraken ignores difficult terrain, and magical effects can't reduce its speed or cause it to be restrained. It can spend 5 feet of movement to escape from nonmagical restraints or being grappled."", 'The kraken deals double damage to objects and structures.']","['Multiattack', 'Bite', 'Tentacle', 'Fling', 'Lightning Storm']","['The kraken makes three tentacle attacks, each of which it can replace with one use of Fling.', ""Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 23 (3d8 + 10) piercing damage. If the target is a Large or smaller creature grappled by the kraken, that creature is swallowed, and the grapple ends. While swallowed, the creature is blinded and restrained, it has total cover against attacks and other effects outside the kraken, and it takes 42 (12d6) acid damage at the start of each of the kraken's turns. If the kraken takes 50 damage or more on a single turn from a creature inside it, the kraken must succeed on a DC 25 Constitution saving throw at the end of that turn or regurgitate all swallowed creatures, which fall prone in a space within 10 feet of the kraken. If the kraken dies, a swallowed creature is no longer restrained by it and can escape from the corpse using 15 feet of movement, exiting prone."", 'Melee Weapon Attack: +7 to hit, reach 30 ft., one target. Hit: 20 (3d6 + 10) bludgeoning damage, and the target is grappled (escape DC 18). Until this grapple ends, the target is restrained. The kraken has ten tentacles, each of which can grapple one target.', 'One Large or smaller object held or creature grappled by the kraken is thrown up to 60 feet in a random direction and knocked prone. If a thrown target strikes a solid surface, the target takes 3 (1d6) bludgeoning damage for every 10 feet it was thrown. If the target is thrown at another creature, that creature must succeed on a DC 18 Dexterity saving throw or take the same damage and be knocked prone.', 'The kraken magically creates three bolts of lightning, each of which can strike a target the kraken can see within 120 feet of it. A target must make a DC 23 Dexterity saving throw, taking 22 (4d10) lightning damage on a failed save, or half as much damage on a successful one.']","['Tentacle Attack or Fling', 'Lightning Storm (Costs 2 Actions)', 'Ink Cloud (Costs 3 Actions)']","['The kraken makes one tentacle attack or uses its Fling.', 'The kraken uses Lightning Storm.', ""While underwater, the kraken expels an ink cloud in a 60-foot radius. The cloud spreads around corners, and that area is heavily obscured to creatures other than the kraken. Each creature other than the kraken that ends its turn there must succeed on a DC 23 Constitution saving throw, taking 16 (3d10) poison damage on a failed save, or half as much damage on a successful one. A strong current disperses the cloud, which otherwise disappears at the end of the kraken's next turn.""]",23.0, monster manual
Kraken Priest,M,humanoid (any race),any evil alignment,10,,75,10d8+30,"30 ft., swim 30 ft.",3,12,10,16,10,15,14,Perception +5,"bludgeoning, piercing, and slashing from nonmagical attacks",,,,,15,any two languages,"['Amphibious', 'Innate Spellcasting']","['The priest can breathe air and water.', 'The priest’s spellcasting ability is Wisdom (spell save DC 13, +5 to hit with spell attacks). It can innately cast the following spells, requiring no material components:', '\t ', 'At will: command, create or destroy water', '\t ', '3/day each: control water, darkness, water breathing, water walk', '\t ', '1/day each: call lightning, Evard’s black tentacles']","['Thunderous Touch', 'Voice of the Kraken (Recharges after a Short or Long Rest)']","['Melee Spell Attack: +5 to hit, reach 5 ft., one creature. Hit: 27 (5d10) thunder damage.', ""A kraken speaks through the priest with a thunderous voice audible within 300 feet. Creatures of the priest’s choice that can hear the kraken's words (which are spoken in Abyssal, Infernal, or Primordial) must succeed on a DC 14 Charisma saving throw or be frightened for 1 minute. A frightened target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.""]",[],[],5.0, Volo's Guide
Kuo-Toa,M,humanoid (kuo-toa),neutral evil,13,"natural armor, shield",18,4d8,"30 ft., swim 30 ft.",2,13,10,11,11,10,8,Perception +4,,,,,darkvision 120 ft.,14,Undercommon,"['Amphibious', 'Otherwordly Perception', 'Slippery', 'Sunlight Sensitivity']","['The kuo-toa can breathe air and water.', 'The kuo-toa can sense the presence of any creature within 30 feet of it that is invisible or on the Ethereal Plane. It can pinpoint such a creature that is moving.', 'The kuo-toa has advantage on ability checks and saving throws made to escape a grapple.', 'While in sunlight, the kuo-toa has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight.']","['Bite', 'Spear', 'Net']","['Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 3 (1d4 + 1) piercing damage.', 'Melee or Ranged Weapon Attack: +3 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 4 (1d6 + 1) piercing damage, or 5 (1d8 + 1) piercing damage if used with two hands to make a melee attack.', 'Ranged Weapon Attack: +3 to hit, range 5/15 ft., one Large or smaller creature. Hit: The target is restrained. A creature can use its action to make a DC 10 Strength check to free itself or another creature in a net, ending the effect on a success. Dealing 5 slashing damage to the net (AC 10) frees the target without harming it and destroys the net.']",[],[],0.25, monster manual
Kuo-Toa Archpriest,M,humanoid (kuo-toa),neutral evil,13,natural armor,97,13d8+39,"31 ft., swim 30 ft.",3,16,14,16,13,16,14,"Perception +9, Religion +6",,,,,darkvision 120 ft.,19,Undercommon,"['Amphibious', 'Otherwordly Perception', 'Slippery', 'Sunlight Sensitivity', 'Spellcasting']","['The kuo-toa can breathe air and water.', 'The kuo-toa can sense the presence of any creature within 30 feet of it that is invisible or on the Ethereal Plane. It can pinpoint such a creature that is moving.', 'The kuo-toa has advantage on ability checks and saving throws made to escape a grapple.', 'While in sunlight, the kuo-toa has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight.', 'The kuo-toa is a 10th-level spellcaster. Its spellcasting ability is Wisdom (spell save DC 14, +6 to hit with spell attacks). The kuo-toa has the following cleric spells prepared: ', None, '• Cantrips (at will): guidance, sacred flame, thaumaturgy', '• 1st level (4 slots): detect magic, sanctuary, shield of faith', '• 2nd level (3 slots): hold person, spiritual weapon', '• 3rd level (3 slots): spirit guardians, tongues', '• 4th level (3 slots): control water, divination', '• 5th level (2 slots): mass cure wounds, scrying']","['Multiattack', 'Scepter', 'Unarmed Strike']","['The kuo-toa makes two melee attacks.', 'Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) bludgeoning damage plus 14 (4d6) lightning damage.', 'Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 5 (1d4 + 3) bludgeoning damage.']",[],[],6.0, monster manual
Kuo-Toa Monitor,M,humanoid (kuo-toa),neutral evil,13,"natural armor, unarmored defense",65,10d8+20,"33 ft., swim 30 ft.",2,14,10,14,12,14,11,"Perception +6, Religion +4",,,,,darkvision 120 ft.,16,Undercommon,"['Amphibious', 'Otherwordly Perception', 'Slippery', 'Sunlight Sensitivity', 'Unarmored Defense']","['The kuo-toa can breathe air and water.', 'The kuo-toa can sense the presence of any creature within 30 feet of it that is invisible or on the Ethereal Plane. It can pinpoint such a creature that is moving.', 'The kuo-toa has advantage on ability checks and saving throws made to escape a grapple.', 'While in sunlight, the kuo-toa has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight.', 'The kuo-toa adds its Wisdom modifier to its armor class.']","['Multiattack', 'Bite', 'Unarmed Strike']","['The kuo-toa makes one bite attack and two unarmed strikes.', 'Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) piercing damage.', ""Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) bludgeoning damage plus 3 (1d6) lightning damage, and the target can't take reactions until the end of the kuo-toa's next turn.""]",[],[],2.0, monster manual
Kuo-Toa Whip,M,humanoid (kuo-toa),neutral evil,11,natural armor,65,10d8+20,"32 ft., swim 30 ft.",2,14,10,14,12,14,11,"Perception +6, Religion +4",,,,,darkvision 120 ft.,16,Undercommon,"['Amphibious', 'Otherwordly Perception', 'Slippery', 'Sunlight Sensitivity', 'Spellcasting']","['The kuo-toa can breathe air and water.', 'The kuo-toa can sense the presence of any creature within 30 feet of it that is invisible or on the Ethereal Plane. It can pinpoint such a creature that is moving.', 'The kuo-toa has advantage on ability checks and saving throws made to escape a grapple.', 'While in sunlight, the kuo-toa has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight.', 'The kuo-toa is a 2nd-level spellcaster. Its spellcasting ability is Wisdom (spell save DC 12, +4 to hit with spell attacks). The kuo-toa has the following cleric spells prepared: ', None, '• Cantrips (at will): sacred flame, thaumaturgy', '• 1st level (3 slots): bane, shield of faith']","['Multiattack', 'Bite', 'Pincer Staff']","['The kuo-toa makes two attacks: one with its bite and one with its pincer staff.', 'Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) piercing damage.', ""Melee Weapon Attack: +4 to hit, reach 10 ft., one target. Hit: 5 (1d6 + 2) piercing damage. If the target is a Medium or smaller creature, it is grappled (escape DC 14). Until this grapple ends, the kuo-toa can't use its pincer staff on another target.""]",[],[],1.0, monster manual
Lamia,L,monstrosity,chaotic evil,13,natural armor,97,13d10+26,30 ft.,2,16,13,15,14,15,16,"Deception +7, Insight +4, Stealth +3",,,,,darkvision 60 ft.,12,"Abyssal, Common",['Innate Spellcasting'],"[""The lamia's innate spellcasting ability is Charisma (spell save DC 13). It can innately cast the following spells, requiring no material components. At will: disguise self (any humanoid form), major image 3/day each: charm person, mirror image, scrying, suggestion 1/day: geas""]","['Multiattack', 'Claws', 'Dagger', 'Intoxicating Touch']","['The lamia makes two attacks: one with its claws and one with its dagger or Intoxicating Touch.', 'Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 14 (2d10 + 3) slashing damage.', 'Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 5 (1d4 + 3) piercing damage.', 'Melee Spell Attack: +5 to hit, reach 5 ft., one creature. Hit: The target is magically cursed for 1 hour. Until the curse ends, the target has disadvantage on Wisdom saving throws and all ability checks.']",[],[],4.0, monster manual
Langdedrosa Cyanwrath,M,humanoid (half-dragon),lawful evil,17,splint,57,6d12+18,30 ft.,2,19,13,16,10,14,12,"Athletics +6, Intimidation +3, Perception +4",lightning,,,,"blindsight 10 ft., darkvision 60 ft.",14,"Common, Draconic","['Action Surge (Recharges on a Short or Long Rest)', 'Improved Critical']","['On his turn, Langdedrosa can take one additional action.', ""Langdedrosa's weapon attacks score a critical hit on a roll of 19 or 20.""]","['Multiattack', 'Greatsword', 'Spear', 'Lightning Breath (Recharge 5-6)']","['Langdedrosa attacks twice, either with his greatsword or spear.', 'Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 11 (2d6 + 4) slashing damage.', 'Melee or Ranged Weapon Attack: +6 to hit, reach 5 ft. or ranged 20 ft.,/60 ft., one target. Hit: 7 (1d6 + 4) piercing damage.', 'Langdedrosa breathes lightning in a 30-foot line that is 5 feet wide. Each creature in the line must make a DC 13 Dexterity saving throw, taking 22 (4d10) lightning damage on a failed save, or half as much damage on a successful one.']",[],[],4.0, tyranny of dragons
Lemure,M,fiend (devil),lawful evil,7,,13,3d8,15 ft.,2,10,5,11,1,11,3,,cold,,"fire, poison","charmed, frightened, poisoned",darkvision 120 ft.,10,understands infernal but can't speak,"[""Devil's Sight"", 'Hellish Rejuvenation']","[""Magical darkness doesn't impede the lemure's darkvision."", 'A lemure that dies in the Nine Hells comes back to life with all its hit points in 1d10 days unless it is killed by a good-aligned creature with a bless spell cast on that creature or its remains are sprinkled with holy water.']",['Fist'],"['Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 2 (1d4) bludgeoning damage']",[],[],0.0, monster manual
Leucrotta,L,monstrosity,chaotic evil,14,natural armor,67,9d10+18,50 ft.,2,18,14,15,9,12,6,"Deception +2, Perception +3",,,,,darkvision 60 ft.,13,"Abyssal, Gnoll","['Keen Smell', 'Kicking Retreat', 'Mimicry', 'Rampage']","['The leucrotta has advantage on Wisdom (Perception) checks that rely on smell.', 'If the leucrotta attacks with its hooves, it can take the Disengage action as a bonus action.', 'The leucrotta can mimic animal sounds and humanoid voices. A creature that hears the sounds can tell they are imitations with a successful DC 14 Wisdom (Insight) check.', 'When the leucrotta reduces a creature to 0 hit points with a melee attack on its turn, it can take a bonus action to move up to half its speed and make an attack with its hooves.']","['Multiattack', 'Bite', 'Hooves']","['The leucrotta makes two attacks: one with its bite and one with its hooves.', 'Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 8 (1d8+4) piercing damage. If the leucrotta scores a critical hit, it rolls the damage dice three times, instead of twice.', 'Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 11 (2d6+4) bludgeoning damage.']",[],[],3.0, Volo's Guide
Lich,M,undead,any evil alignment,17,natural armor,135,18d8+54,30 ft.,7,11,16,16,20,14,16,"Arcana +18, History +12, Insight +9, Perception +9","cold, lightning, necrotic",,"poison, bludgeoning, piercing, and slashing from nonmagical weapons","charmed, exhaustion, frightened, paralyzed, poisoned",truesight 120 ft.,19,Common plus up to five other languages,"['Legendary Resistance (3/Day)', 'Rejuvenation', 'Spellcasting', 'Turn Resistance']","['If the lich fails a saving throw, it can choose to succeed instead.', 'If it has a phylactery, a destroyed lich gains a new body in 1d10 days, regaining all its hit points and becoming active again. The new body appears within 5 feet of the phylactery.', 'The lich is an 18th-level spellcaster. Its spellcasting ability is Intelligence (spell save DC 20, +12 to hit with spell attacks). The lich has the following wizard spells prepared: ', None, '• Cantrips (at will): mage hand, prestidigitation, ray of frost', '• 1st level (4 slots): detect magic, magic missile, shield, thunderwave', ""• 2nd level (3 slots): detect thoughts, invisibility, Melf's acid arrow, mirror image"", '• 3rd level (3 slots): animate dead, counterspell, dispel magic, fireball', '• 4th level (3 slots): blight, dimension door', '• 5th level (3 slots): cloudkill, scrying', '• 6th level (1 slot): disintegrate, globe of invulnerability', '• 7th level (1 slot): finger of death, plane shift', '• 8th level (1 slot): dominate monster, power word stun', '• 9th level (1 slot): power word kill', 'The lich has advantage on saving throws against any effect that turns undead.']",['Paralyzing Touch'],"['Melee Spell Attack: +12 to hit, reach 5 ft., one creature. Hit: 10 (3d6) cold damage. The target must succeed on a DC 18 Constitution saving throw or be paralyzed for 1 minute. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.']","['Cantrip', 'Paralyzing Touch (Costs 2 Actions)', 'Frightening Gaze (Costs 2 Actions)', 'Disrupt Life (Costs 3 Actions)']","['The lich casts a cantrip.', 'The lich uses its Paralyzing Touch.', ""The lich fixes its gaze on one creature it can see within 10 feet of it. The target must succeed on a DC 18 Wisdom saving throw against this magic or become frightened for 1 minute. The frightened target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a target's saving throw is successful or the effect ends for it, the target is immune to the lich's gaze for the next 24 hours."", 'Each non-undead creature within 20 feet of the lich must make a DC 18 Constitution saving throw against this magic, taking 21 (6d6) necrotic damage on a failed save, or half as much damage on a successful one.']",21.0, monster manual
Lifferlas,H,plant,unaligned,13,natural armor,59,7d12+14,20 ft.,2,19,6,15,10,10,7,,"blugdeoning, piercing",fire,,,,10,Common,"['False Appearance', 'Roleplaying Information']","['While Lifferlas remains motionless, it is indistinguishable from a normal tree.', ""A druid of the Emerald Enclave awakened the tree Lifferlas with a spell. Goldenfields is his home, its people his friends. Children like to carve their name and initials into his body and hang from his boughs, and he's happy with that."", None, 'Ideal: ""I exist to protect the people and plants of Goldenfields.""', 'Bond: ""Children are wonderful. I would do anything to make them feel happy and safe.""', 'Flaw: ""I can\'t remember people\'s names and often get them mixed up.""']","['Multiattack', 'Slam']","['Lifferlas makes two slam attacks.', 'Melee Weapon Attack: +6 to hit, reach 10 ft., one target. Hit: 14 (3d6+4) bludgeoning damage.']",[],[],0.0, storm kings thunder
Lion,L,beast,unaligned,12,,26,4d10+4,50 ft.,2,17,15,13,3,12,8,"Perception +3, Stealth +6",,,,,,13,,"['Keen Smell', 'Pack Tactics', 'Pounce', 'Running Leap']","['The lion has advantage on Wisdom (Perception) checks that rely on smell.', ""The lion has advantage on an attack roll against a creature if at least one of the lion's allies is within 5 ft. of the creature and the ally isn't incapacitated."", 'If the lion moves at least 20 ft. straight toward a creature and then hits it with a claw attack on the same turn, that target must succeed on a DC 13 Strength saving throw or be knocked prone. If the target is prone, the lion can make one bite attack against it as a bonus action.', 'With a 10-foot running start, the lion can long jump up to 25 ft..']","['Bite', 'Claw']","['Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 7 (1d8 + 3) piercing damage.', 'Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) slashing damage.']",[],[],1.0, monster manual
Lizard,T,beast,unaligned,10,,2,1d4,"20 ft., climb 20 ft.",2,2,11,10,1,8,3,,,,,,darkvision 30 ft.,9,,[],[],['Bite'],"['Melee Weapon Attack: +0 to hit, reach 5 ft., one target. Hit: 1 piercing damage.']",[],[],0.0, monster manual
Lizard King/Queen,M,humanoid (lizardfolk),chaotic evil,15,natural armor,78,12d8+24,"30 ft., swim 30 ft.",2,17,12,15,11,11,15,"Perception +4, Stealth +5, Survival +4",,,,frightened,darkvision 60 ft.,14,"Abyssal, Draconic","['Hold Breath', 'Skewer']","['The lizardfolk can hold its breath for 15 minutes.', 'Once per turn, when the lizardfolk makes a melee attack with its trident and hits, the target takes an extra 10 (3d6) damage, and the lizardfolk gains temporary hit points equal to the extra damage dealt.']","['Multiattack', 'Bite', 'Claws', 'Trident']","['The lizardfolk makes two attacks: one with its bite and one with its claws or trident or two melee attacks with its trident.', 'Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) piercing damage.', 'Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 5 (1d4 + 3) slashing damage.', 'Melee or Ranged Weapon Attack: +5 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 6 (1d6 + 3) piercing damage, or 7 (1d8 + 3) piercing damage if used with two hands to make a melee attack.']",[],[],4.0, monster manual
Lizardfolk,M,humanoid (lizardfolk),neutral,15,"natural armor, shield",22,4d8+4,"30 ft., swim 30 ft.",2,15,10,13,7,12,7,"Perception +3, Stealth +4, Survival +5",,,,,,13,Draconic,['Hold Breath'],['The lizardfolk can hold its breath for 15 minutes.'],"['Multiattack', 'Bite', 'Heavy Club', 'Javelin', 'Spiked Shield']","['The lizardfolk makes two melee attacks, each one with a different weapon.', 'Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) piercing damage.', 'Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) bludgeoning damage.', 'Melee or Ranged Weapon Attack: +4 to hit, reach 5 ft. or range 30/120 ft., one target. Hit: 5 (1d6 + 2) piercing damage.', 'Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) piercing damage.']",[],[],0.5, monster manual
Lizardfolk Shaman,M,humanoid (lizardfolk),neutral,13,natural armor,27,5d8+5,"30 ft., swim 30 ft.",2,15,10,13,10,15,8,"Perception +4, Stealth +4, Survival +6",,,,,,14,Draconic,"['Hold Breath', 'Spellcasting (Lizardfolk Form Only)']","['The lizardfolk can hold its breath for 15 minutes.', 'The lizardfolk is a 5th-level spellcaster. Its spellcasting ability is Wisdom (spell save DC 12, +4 to hit with spell attacks). The lizardfolk has the following druid spells prepared: ', None, '• Cantrips (at will): druidcraft, produce flame, thorn whip', '• 1st Level (4 slots): entangle, fog cloud', '• 2nd Level (3 slots): heat metal, spike growth', '• 3rd Level (2 slots): conjure animals (reptiles only), plant growth']","['Multiattack (Lizardfolk Form Only)', 'Bite', 'Claws (Lizardfolk Form Only)', 'Change Shape (Recharges after a Short or Long Rest)']","['The lizardfolk makes two attacks: one with its bite and one with its claws.', ""Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) piercing damage, or 7 (1d10 + 2) piercing damage in crocodile form. If the lizardfolk is in crocodile form and the target is a Large or smaller creature, the target is grappled (escape DC 12). Until this grapple ends, the target is restrained, and the lizardfolk can't bite another target. If the lizardfolk reverts to its true form, the grapple ends."", 'Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) slashing damage.', ""The lizardfolk magically polymorphs into a crocodile, remaining in that form for up to 1 hour. It can revert to its true form as a bonus action. Its statistics, other than its size, are the same in each form. Any equipment it is wearing or carrying isn't transformed. It reverts to its true form if it dies.""]",[],[],2.0, monster manual
Madam Eva,M,humanoid (human),chaotic neutral,10,,88,16d8+16,20 ft.,4,8,11,12,17,20,18,"Arcana +7, Deception +8, Insight +13, Intimidation +8, Perception +9, Religion +7",,,,,,19,"Abyssal, Common, Elvish, Infernal",['Spellcasting'],"['Madam Eva is a 16th-level spellcaster. Her spellcasting ability is Wisdom (spell save DC 17, +9 to hit with spell attacks). Madam Eva has the following cleric spells prepared:', None, '• Cantrips (at will): light, mending, sacred flame, thaumaturgy', None, '•1st level (4 slots): bane, command, detect evil and good, protection from evil and good', None, '•2nd level (3 slots): lesser restoration, protection from poison, spiritual weapon', None, '•3rd level (3 slots): create food and water, speak with dead, spirit guardians', None, '•4th level (3 slots): divination, freedom of movement, guardians of faith', None, '•5th level (2 slots): greater restoration, raise dead', None, '•6th level (1 slot): find the path, harm, true seeing', None, '•7th level (1 slot): fire storm, regenerate', None, '•8th level (1 slot): earthquake']","['Dagger', 'Curse (Recharges after a Long Rest)', 'Evil Eye (Recharges after a Short or Long Rest)']","['Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 2 (1d4) piercing damage.', 'Madam Eva targets one creature that she can see within 30 feet of her. The target must succeed on a DC 17 Wisdom saving throw or be cursed. While cursed, the target is blinded and deafened. The curse lasts until ended with a greater restoration spell, a remove curse spell, or similar magic. When the curse ends, Madam Eva takes 5d6 psychic damage.', 'Madam Eva targets one creature that she can see within 10 feet of her and casts one of the following spells on the target (save DC 17), requiring neither somatic nor material components to do so: animal friendship, charm person, or hold person. If the target succeeds on the initial saving throw, Madam Eva is blinded until the end of her next turn. Once a target succeeds on a saving throw against this effect, it is immune to the Evil Eye power of all Vistani for 24 hours.']",[],[],10.0, curse of strahd
Maegera the Dawn Titan,G,elemental,chaotic evil,16,,341,22d20+110,50 ft..,7,21,22,20,10,10,19,,"bludgeoning, piercing, and slashing from nonmagical weapons",,"fire, poison","charmed, frightened, grappled, paralyzed, petrified, poisoned, prone, restrained",blindsight 120 ft.,10,Ignan,"['Empowered Attacks', 'Fire Aura', 'Fire Form', 'Illumination', 'Innate Spellcasting', 'Magic Resistance']","[""Maegera's slam attacks are treated as magical for the purpose of overcoming resistance and immunity to damage from nonmagical attacks."", ""At the start of each of Maegera's turns, each creature within 30 feet of it takes 35 (10d6) fire damage, and flammable objects in the aura that aren't being worn or carried ignite. A creature also takes 35 (10d6) fire damage from touching Maegera or from hitting it with a melee attack while within 10 feet of it, and a creature takes that damage the first time on a turn that Maegera moves into its space. Nonmagical weapons that hit Maegera are destroyed by fire immediately after dealing damage to it."", ""Maegera can enter a hostile creature's space and stop there. It can move through a space as narrow as 1 inch wide without squeezing if fire could pass through that space."", 'Maegera sheds bright light in a 120-foot radius and dim light in an additional 120 ft..', ""Maegera's can innately cast fireball (spell save DC 19) at will, requiring no material components. Maegera's spell casting ability is Charisma."", 'Maegera has advantage on saving throws against spells and other magical effects.']","['Multiattack', 'Slam']","['Maegera makes three slam attacks.', 'Melee Weapon Attack: +12 to hit, reach 15 ft., one target. Hit: 15 (3d6 + 5) bludgeoning damage plus 35 (10d6) fire damage']","['Quench Magic', 'Smoke Cloud (Costs 2 Actions)', 'Create Fire Elemental (Costs 3 Actions)']","[""Maegera targets one creature that it can see within 60 feet of it. Any resistence or immunity to fire damage that the target gains from a spell or magic item is suppressed.  The effect lasts until the end of Maegera's next turn."", ""Maegera exhales a billowing cloud of hot smoke and embers that fills a 60 feet cube. Each creature in the area takes 11 (2d10) fire damage. The cloud lasts until the end of Maegera's next turn. Creatures completely in the cloud are blinded and can't be seen."", ""Maegera's hit points are reduced by 50 as part of it separates and becomes a fire elemental with 102 hit points. The fire element appears in an unoccupied space within 15 feet of Maegera and acts on Maegera's initiative count. Maegera can't use this action if it has 50 hit points or fewer. The fire element obeys Maegera's commands and fights until destroyed.""]",23.0, storm kings thunder
Mage,M,humanoid (any race),any alignment,12,15 with mage armor,40,9d8,30 ft.,3,9,14,11,17,12,11,"Arcana +6, History +6",,,,,,11,any four languages,['Spellcasting'],"['The mage is a 9th-level spellcaster. Its spellcasting ability is Intelligence (spell save DC 14, +6 to hit with spell attacks). The mage has the following wizard spells prepared: ', None, '• Cantrips (at will): fire bolt, light, mage hand, prestidigitation', '• 1st level (4 slots): detect magic, mage armor, magic missile, shield', '• 2nd level (3 slots): misty step, suggestion', '• 3rd level (3 slots): counterspell, fireball, fly', '• 4th level (3 slots): greater invisibility, ice storm', '• 5th level (1 slot): cone of cold']",['Dagger'],"['Melee or Ranged Weapon Attack: +5 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 4 (1d4 + 2) piercing damage.']",[],[],6.0, monster manual
